티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
005965,동부건설우,607392,607392,0,23554762600,23554762600,0
026960,동서,1113365,1113365,0,23352667750,23352667750,0
002210,동성제약,564822,564822,0,3829929550,3829929550,0
102260,동성케미컬,1279279,1279279,0,6128727815,6128727815,0
033500,동성화인텍,3195234,3195234,0,35324804400,35324804400,0
025950,동신건설,814464,814464,0,12769241400,12769241400,0
000640,동아쏘시오홀딩스,66936,66936,0,6762260200,6762260200,0
170900,동아에스티,102083,102083,0,6358904000,6358904000,0
088130,동아엘텍,386488,386488,0,2624344760,2624344760,0
028100,동아지질,316242,316242,0,4267142700,4267142700,0
282690,동아타이어,1014414,1014414,0,12489568100,12489568100,0
041930,동아화성,4410504,4410504,0,47415496170,47415496170,0
001520,동양,4547154,4547154,0,4808866593,4808866593,0
001527,동양2우B,66210,66210,0,882121750,882121750,0
084670,동양고속,16447,16447,0,240411500,240411500,0
082640,동양생명,3190273,3190273,0,17465751485,17465751485,0
060380,동양에스텍,881149,881149,0,1821586765,1821586765,0
001525,동양우,64800,64800,0,424905470,424905470,0
079960,동양이엔피,513223,513223,0,7588174300,7588174300,0
008970,동양철관,7112974,7112974,0,7195723347,7195723347,0
228340,동양파일,7276259,7276259,0,29412602685,29412602685,0
092780,동양피스톤,1486697,1486697,0,7524914275,7524914275,0
088910,동우팜투테이블,1106004,1106004,0,3007943005,3007943005,0
094170,동운아나텍,7080631,7080631,0,72384043010,72384043010,0
049770,동원F&B,64845,64845,0,9825562500,9825562500,0
013120,동원개발,2312507,2312507,0,8346229165,8346229165,0
018500,동원금속,5835910,5835910,0,6123456546,6123456546,0
006040,동원산업,899234,899234,0,45342158800,45342158800,0
030720,동원수산,541092,541092,0,4993502200,4993502200,0
014820,동원시스템즈,477957,477957,0,21739906100,21739906100,0
014825,동원시스템즈우,2193,2193,0,65605000,65605000,0
163560,동일고무벨트,682095,682095,0,4667737240,4667737240,0
109860,동일금속,1274765,1274765,0,24053723625,24053723625,0
032960,동일기연,406619,406619,0,5165181600,5165181600,0
004890,동일산업,187828,187828,0,34651620500,34651620500,0
002690,동일제강,1054207,1054207,0,2400520475,2400520475,0
023790,동일철강,430261,430261,0,866908155,866908155,0
005290,동진쎄미켐,9412134,9412134,0,302729320950,302729320950,0
025900,동화기업,1121242,1121242,0,63899618750,63899618750,0
000020,동화약품,4047764,4047764,0,39644751810,39644751810,0
000150,두산,2486161,2486161,0,213824208600,213824208600,0
000157,두산2우B,12803,12803,0,1139703400,1139703400,0
241560,두산밥캣,9494641,9494641,0,336566001050,336566001050,0
034020,두산에너빌리티,76036171,76036171,0,1207626542950,1207626542950,0
000155,두산우,52208,52208,0,2636848100,2636848100,0
131970,두산테스나,2990785,2990785,0,88092174400,88092174400,0
336260,두산퓨얼셀,6890741,6890741,0,221878346600,221878346600,0
33626K,두산퓨얼셀1우,256826,256826,0,2550354120,2550354120,0
33626L,두산퓨얼셀2우B,101428,101428,0,1288622350,1288622350,0
016740,두올,1298872,1298872,0,3374474750,3374474750,0
073190,듀오백,1208421,1208421,0,2666727650,2666727650,0
176750,듀켐바이오,50311,50311,0,267820020,267820020,0
030350,드래곤플라이,66095865,66095865,0,66894501583,66894501583,0
203650,드림시큐리티,6381811,6381811,0,18361676660,18361676660,0
223250,드림씨아이에스,742676,742676,0,8769165570,8769165570,0
