티커,BPS,PER,PBR,EPS,DIV,DPS
017180,2648,9.91,0.87,233,0.0,0
009900,7315,11.76,2.62,1633,0.0,0
012690,2123,39.84,1.2,64,1.96,50
005360,5502,18.19,0.55,166,2.32,70
009680,19912,9.02,0.45,988,4.49,400
009580,10484,4.54,0.31,721,4.58,150
009200,10014,6.01,0.22,365,2.28,50
033920,18143,0.0,0.3,0,4.23,230
008420,8612,2.33,0.36,1338,1.61,50
025560,3527,20.56,1.77,303,0.0,0
007120,2635,0.0,0.51,0,0.0,0
085620,10179,8.21,0.36,441,0.0,0
006800,21818,6.46,0.31,1033,3.0,200
00680K,0,0.0,0.0,0,5.64,200
006805,0,0.0,0.0,0,6.12,220
002840,70659,10.87,2.27,14752,0.94,1500
268280,75680,10.2,1.74,12932,1.74,2300
107590,95466,10.78,0.98,8717,0.74,700
134380,64815,8.93,1.1,7959,3.52,2500
003650,212260,4.5,0.33,15455,3.59,2500
377740,15707,1.58,0.33,3277,9.46,490
003610,5532,14.74,0.4,152,2.01,45
001340,4741,15.87,1.64,491,0.77,60
035150,7626,4.08,1.01,1882,1.96,150
002410,3085,0.0,0.79,0,0.0,0
007210,4254,14.46,0.59,175,0.99,25
002760,808,28.82,1.82,51,0.48,7
003850,7833,14.07,1.14,636,1.12,100
000890,593,0.0,0.88,0,0.0,0
003000,3845,0.0,1.78,0,0.0,0
001270,116987,4.75,0.19,4736,6.67,1500
001275,0,0.0,0.0,0,8.2,1550
026940,6300,9.1,0.51,355,2.32,75
011390,55020,26.68,1.19,2451,0.38,250
005030,316,0.0,1.54,0,0.0,0
002070,3232,0.0,0.43,0,0.0,0
100220,16097,0.0,0.27,0,2.33,100
090460,17692,5.21,1.34,4551,1.05,250
030790,277,0.0,3.26,0,0.0,0
005180,65119,19.07,0.85,2905,2.71,1500
003960,67677,2.86,0.41,9689,1.26,350
008040,1639,124.38,0.61,8,0.0,0
007160,102866,2.8,0.38,13998,0.89,350
014710,13889,8.35,0.29,482,0.99,40
006090,21856,8.78,0.36,905,1.51,120
001470,975,0.0,3.13,0,0.0,0
006400,251948,20.83,2.41,29191,0.17,1030
006405,0,0.0,0.0,0,0.37,1080
006660,32070,1.96,0.31,5102,0.8,80
028260,164524,8.31,0.63,12460,2.22,2300
02826K,0,0.0,0.0,0,2.81,2350
207940,126233,67.47,6.12,11442,0.0,0
032830,124081,7.56,0.54,8817,4.5,3000
018260,106311,9.54,1.28,14218,2.36,3200
028050,13741,10.73,2.65,3392,0.0,0
009150,103702,11.05,1.38,12977,1.46,2100
009155,0,0.0,0.0,0,3.19,2150
005930,57822,8.28,1.15,8057,2.16,1444
005935,0,0.0,0.0,0,2.63,1445
001360,1528,0.0,1.88,0,0.0,0
010140,4209,0.0,2.01,0,0.0,0
016360,69383,7.68,0.52,4730,4.68,1700
068290,17559,14.52,0.97,1179,1.17,200
029780,73934,5.02,0.4,5831,8.53,2500
000810,276525,8.27,0.9,30113,5.54,13800
000815,0,0.0,0.0,0,7.72,13805
006110,12540,62.6,7.81,1564,0.26,250
145990,136968,6.08,0.31,6872,2.99,1250
145995,0,0.0,0.0,0,5.43,1300
003230,60733,16.27,2.86,10665,0.81,1400
002170,147462,9.35,0.34,5339,3.01,1500
272550,22869,22.57,0.77,777,4.28,750
000070,240995,7.53,0.29,9173,5.07,3500
000075,0,0.0,0.0,0,6.89,3550
003720,1525,50.13,2.63,80,0.0,0
002810,26238,4.1,0.48,3054,4.8,600
005680,26088,9.6,0.33,909,3.44,300
023000,5807,9.04,0.51,327,3.55,105
004380,10179,15.27,1.21,804,2.44,300
002450,3225,6.03,0.35,186,4.46,50
004440,21073,0.0,0.21,0,0.0,0
000520,8884,0.0,0.81,0,0.0,0
009770,85204,0.0,0.3,0,3.86,1000
005500,20811,12.85,1.07,1728,3.6,800
004690,410695,7.6,0.27,14387,2.74,3000
010960,9788,12.87,0.35,265,5.57,190
004450,65831,0.0,0.51,0,3.56,1200
009470,10248,10.97,1.72,1611,1.7,300
011230,1085,0.0,5.74,0,0.0,0
001820,21828,14.05,1.83,2840,1.25,500
000390,12654,25.11,0.47,237,4.2,250
001290,2103,20.94,0.35,35,0.0,0
041650,9851,96.22,0.36,37,2.81,100
075180,11978,0.0,0.38,0,3.11,140
007540,92028,10.64,0.56,4831,0.39,200
248170,49786,9.52,0.55,2869,0.73,200
007860,24599,2.52,0.31,3034,1.31,100
200880,26709,7.66,0.59,2060,0.95,150
017390,270188,15.06,0.25,4554,2.55,1750
004410,76,99.0,2.61,2,0.0,0
004415,0,0.0,0.0,0,0.0,0
021050,2870,333.33,0.7,6,0.0,0
008490,37893,9.02,0.73,3056,1.45,400
007610,3277,0.0,0.92,0,0.0,0
136490,17831,8.17,0.45,975,1.25,100
014910,1756,14.93,0.95,112,0.3,5
014915,0,0.0,0.0,0,0.17,10
003080,6994,14.58,0.43,204,4.54,135
